1352A,Сумма круглых чисел,800,54659
732A,Куплю лопату,800,54015
723A,Новый год: встреча друзей,800,53646
451A,Игра с палочками,900,53333
1154A,Восстановление трех чисел,800,52437
1409A,Ещё одна задача о двух числах,800,51393
1399A,Удалить наименьшее,800,51240
189A,Разрежь ленточку,1300,51126
151A,Газировкопитие,800,48851
466A,Выгодный проезд,1200,48702
472A,Уроки дизайна задач: учимся у математики,800,47916
432A,Выбор команд,800,47003
1367A,Короткие подстроки,800,46658
758A,Праздник равенства,800,45870
1343B,Сбалансированный массив,800,45811
1512A,Шпион обнаружен!,800,45787
490A,Командная олимпиада,800,45573
455A,Скука,1500,45414
381A,Сережа и Дима,800,45029
706B,Интересный напиток,1100,44661
32B,Азбука Борзе,800,44274
313A,Илья и банковский счет,900,44203
1560A,Нелюбовь к тройкам,800,44112
630A,Опять двадцать пять!,800,44081
579A,Выращиваем бактерии,1000,43736
703A,Мишка и игра,800,43389
1374A,Необходимый остаток,800,42741
1367B,Четный массив,800,42643
1475A,Нечетный делитель,900,42628
